xs,ys,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33
281,-271.178571,0.006,0,0.038,0,0,0,0,0.252,0,0,0,0.049,0.001,0,0,0,0.153,0.015,0,0,0.018,0.002,0,0.001,0.003,0,0,0.071,0,0.033,0.016,0.005,0.015
284.413793,-262.362069,0.002,0,0.034,0,0,0,0,0.228,0,0,0,0.037,0.003,0,0,0,0.157,0.011,0,0,0.007,0,0,0,0.006,0.001,0,0.087,0,0.035,0.015,0.005,0.002
290.416667,-245.047619,0.005,0,0.024,0,0,0,0,0.249,0,0,0,0.035,0,0,0,0,0.176,0.017,0,0,0.015,0,0,0,0.005,0,0,0.079,0,0.031,0.012,0.005,0.002
299.888889,-221.196581,0.003,0,0.044,0,0,0,0,0.259,0,0,0,0.053,0,0,0,0,0.167,0.016,0,0,0.018,0,0.001,0,0.006,0,0,0.067,0,0.04,0.013,0.004,0.007
313.04878,-191.707317,0.005,0,0.034,0,0,0,0,0.23,0,0,0,0.056,0.001,0,0,0,0.128,0.014,0,0,0.035,0,0,0,0.008,0,0,0.044,0,0.037,0.006,0.005,0.003
331.676471,-152.039216,0.001,0,0.016,0,0,0,0,0.226,0,0,0,0.034,0.001,0,0,0,0.124,0.013,0,0,0.056,0,0,0,0.036,0,0,0.038,0,0.027,0.017,0.004,0
350.27907,-109.860465,0.001,0,0.022,0,0,0,0,0.202,0,0,0,0.028,0.001,0,0,0,0.1,0.009,0,0,0.031,0,0,0.002,0.043,0,0,0.043,0,0.029,0.022,0.003,0.001
371.172727,-63.363636,0,0,0.011,0,0,0,0,0.15,0,0,0,0.02,0.001,0,0,0,0.075,0.013,0,0,0.021,0,0,0,0.019,0,0,0.047,0,0.043,0.019,0.003,0
391.388235,-14.305882,0,0,0.006,0,0,0,0,0.129,0,0,0,0.027,0.002,0,0,0,0.063,0.003,0,0,0.025,0.001,0,0,0.012,0,0,0.036,0,0.023,0.022,0.001,0.001
410.072072,35.252252,0.002,0,0.005,0,0,0,0,0.158,0,0,0,0.024,0,0,0,0,0.123,0.008,0,0,0.028,0,0,0.002,0.018,0,0,0.067,0,0.029,0.019,0.001,0
426.908046,82.701149,0.002,0,0.004,0,0,0,0,0.345,0,0,0,0.032,0,0,0,0,0.249,0.008,0,0,0.018,0,0,0,0.015,0,0,0.158,0,0.03,0.018,0.005,0.001
443.414414,129.495495,0,0,0.014,0,0,0,0,0.409,0,0,0,0.072,0,0,0,0,0.179,0.023,0,0,0.018,0,0,0,0.013,0,0,0.113,0,0.039,0.038,0.006,0.001
457.842697,174.359551,0,0,0.052,0,0,0,0,0.28,0,0,0,0.094,0.001,0,0,0,0.077,0.015,0,0,0.055,0.002,0,0.001,0.05,0,0,0.05,0,0.11,0.074,0.013,0.003
471.761062,215.221239,0,0,0.036,0,0,0,0,0.225,0,0,0,0.055,0.001,0,0,0,0.094,0.01,0,0,0.022,0,0,0.002,0.017,0,0,0.041,0,0.05,0.045,0.012,0.008
484.153846,251.868132,0,0,0.04,0,0,0,0,0.127,0,0,0,0.036,0.001,0,0,0,0.066,0.01,0,0,0.024,0,0,0.002,0.006,0,0,0.025,0,0.033,0.043,0.007,0.003
493.663717,282.831858,0.003,0,0.039,0,0,0,0,0.204,0,0,0,0.041,0,0,0,0,0.087,0.013,0,0.001,0.027,0,0,0,0.006,0,0,0.047,0,0.041,0.036,0.011,0.007
503.163043,310.630435,0.003,0,0.025,0,0,0,0,0.219,0,0,0,0.042,0.001,0,0,0,0.115,0.014,0,0,0.018,0,0,0,0.007,0,0,0.062,0,0.038,0.024,0.004,0.01
509.460177,329.39823,0.007,0,0.019,0,0,0,0,0.252,0,0,0,0.043,0.001,0,0,0,0.157,0.013,0,0,0.018,0.001,0,0.001,0.002,0,0,0.083,0,0.045,0.026,0.004,0.01
515.7,344.466667,0.01,0,0.026,0,0,0,0,0.27,0,0,0,0.021,0.002,0,0,0,0.157,0.017,0,0,0.006,0,0.001,0.001,0,0.001,0,0.097,0,0.021,0.025,0.006,0.017
520.234234,355.351351,0.015,0,0.018,0,0,0,0,0.262,0,0,0,0.027,0,0,0,0,0.173,0.007,0,0,0.005,0,0.001,0.001,0.002,0.002,0,0.088,0,0.031,0.015,0.005,0.012
523.208791,362.505495,0.031,0,0.009,0,0,0,0,0.295,0,0,0,0.032,0,0,0,0,0.159,0.01,0,0,0.006,0,0.004,0,0.001,0.004,0,0.106,0,0.034,0.016,0.003,0.017
526.20354,367.168142,0.037,0,0.017,0,0,0,0,0.27,0,0,0,0.029,0.001,0,0,0,0.165,0.01,0,0,0.003,0,0.001,0,0.001,0.007,0,0.122,0,0.019,0.018,0.002,0.016
527,368,0.032,0,0.013,0,0,0,0,0.273,0,0,0,0.038,0,0,0,0,0.156,0.009,0,0.001,0.004,0,0.003,0,0,0.002,0,0.132,0,0.023,0.023,0.003,0.016
525.526316,368,0.018,0,0.009,0,0,0,0,0.277,0,0,0,0.025,0,0,0,0,0.16,0.005,0,0,0,0.001,0.001,0,0.001,0.002,0,0.143,0,0.034,0.021,0.003,0.018
524.032967,366.791209,0.024,0,0.02,0,0,0,0,0.299,0,0,0,0.03,0.002,0,0,0,0.172,0.012,0,0,0.003,0.001,0,0,0.001,0.003,0,0.111,0,0.025,0.023,0.004,0.017
522.814159,363.345133,0.018,0,0.017,0,0,0,0,0.314,0,0,0,0.037,0,0,0,0,0.157,0.013,0,0,0.001,0.001,0.001,0.002,0.002,0.007,0,0.114,0,0.023,0.021,0,0.014
521.241758,359.120879,0.015,0,0.02,0,0,0,0,0.306,0,0,0,0.041,0,0,0,0,0.172,0.008,0,0,0.005,0,0,0,0.001,0.006,0,0.118,0,0.021,0.026,0.002,0.013
517.789474,352.789474,0.017,0,0.016,0,0,0,0,0.286,0,0,0,0.037,0,0,0,0,0.158,0.017,0,0,0.003,0,0.001,0,0.002,0.003,0,0.144,0,0.032,0.021,0.004,0.02
513.483516,346.978022,0.029,0,0.02,0,0,0,0,0.315,0,0,0,0.05,0.001,0,0,0,0.175,0.018,0,0,0.01,0.001,0.001,0.001,0,0.003,0,0.104,0,0.039,0.021,0.002,0.013
508.736842,340.578947,0.026,0,0.024,0,0,0,0,0.288,0,0,0,0.037,0,0,0,0,0.168,0.02,0,0,0.015,0,0.001,0.002,0.003,0.003,0,0.133,0,0.033,0.028,0.003,0.015
501.407407,332.222222,0.022,0,0.027,0,0,0,0,0.276,0,0,0,0.046,0,0,0,0,0.199,0.019,0,0,0.013,0,0.004,0.001,0.005,0.001,0,0.087,0,0.039,0.027,0.005,0.022
488.921875,322.804688,0.011,0,0.026,0,0,0,0,0.283,0,0,0,0.044,0.002,0,0,0,0.188,0.023,0,0,0.015,0,0.002,0.001,0.003,0.002,0,0.097,0,0.046,0.033,0.006,0.019
477.8375,315.1625,0.016,0,0.024,0,0,0,0,0.276,0,0,0,0.048,0.003,0,0,0,0.162,0.019,0,0,0.011,0,0.001,0.002,0.006,0.005,0,0.104,0,0.042,0.027,0.005,0.016
463.104839,310.104839,0.015,0,0.028,0,0,0,0,0.257,0,0,0,0.039,0.002,0,0,0,0.171,0.022,0,0,0.016,0,0.002,0.002,0.006,0.002,0,0.092,0,0.04,0.043,0.003,0.012
444.148148,303.259259,0.013,0,0.043,0,0,0,0,0.271,0,0,0,0.05,0.002,0,0,0,0.162,0.016,0,0,0.011,0.001,0.004,0.001,0.007,0.001,0,0.084,0,0.047,0.038,0.003,0.012
425.056,296.984,0.008,0,0.048,0,0,0,0,0.229,0,0,0,0.053,0.002,0,0,0,0.156,0.022,0,0,0.015,0.002,0.001,0,0.006,0.001,0,0.078,0,0.047,0.027,0.004,0.022
403.121951,289.682927,0.013,0,0.045,0,0,0,0,0.259,0,0,0,0.05,0.002,0,0,0,0.135,0.02,0,0,0.022,0.001,0.002,0.002,0.006,0,0,0.1,0,0.054,0.04,0.009,0.021
388.443548,285.967742,0.016,0,0.034,0,0,0,0,0.283,0,0,0,0.057,0.006,0,0,0,0.15,0.014,0,0,0.022,0,0.004,0.005,0.005,0.001,0,0.084,0,0.058,0.043,0.007,0.017
359.939024,277.536585,0.01,0,0.05,0,0,0,0,0.285,0,0,0,0.07,0.006,0,0,0,0.158,0.018,0,0,0.017,0.001,0,0.002,0.006,0.002,0,0.079,0,0.054,0.033,0.009,0.025
339.032258,272.169355,0.02,0,0.049,0,0,0,0,0.284,0,0,0,0.064,0.003,0,0,0,0.164,0.015,0,0,0.02,0,0.001,0.003,0.011,0.001,0,0.105,0,0.049,0.032,0.007,0.016
321.833333,264.511905,0.009,0,0.032,0,0,0,0,0.327,0,0,0,0.077,0,0,0,0,0.152,0.026,0,0,0.017,0.001,0.002,0.002,0.009,0,0,0.081,0,0.079,0.073,0.008,0.014
317.578512,262.53719,0.008,0,0.039,0,0,0,0,0.347,0,0,0,0.095,0.003,0,0,0,0.156,0.024,0,0,0.015,0,0.001,0.001,0.008,0.004,0,0.068,0,0.082,0.066,0.007,0.019
285.843373,254.481928,0.009,0,0.046,0,0,0,0,0.334,0,0,0,0.113,0.003,0,0,0,0.143,0.02,0,0,0.02,0,0.002,0,0.012,0.003,0,0.077,0,0.078,0.076,0.015,0.013
271.52,246.456,0.002,0,0.05,0,0,0,0,0.303,0,0,0,0.088,0.008,0,0,0,0.136,0.028,0,0,0.026,0.002,0,0,0.024,0.001,0,0.071,0,0.101,0.083,0.015,0.017
260.390244,240.54878,0.003,0,0.049,0,0,0,0,0.327,0,0,0,0.085,0.007,0,0,0,0.123,0.033,0,0,0.021,0.002,0.001,0.002,0.022,0,0,0.087,0,0.098,0.072,0.012,0.021
251.919355,235.887097,0.011,0,0.047,0,0,0,0,0.335,0,0,0,0.082,0,0,0,0,0.15,0.027,0,0,0.025,0.001,0.001,0,0.018,0.002,0,0.071,0,0.087,0.061,0.009,0.015
244.547619,231.142857,0.013,0,0.049,0,0,0,0,0.343,0,0,0,0.081,0.003,0,0,0,0.142,0.028,0,0,0.032,0.002,0.002,0.003,0.019,0,0,0.087,0,0.081,0.057,0.013,0.01
239.909091,226.826446,0.006,0,0.059,0,0,0,0,0.323,0,0,0,0.071,0.003,0,0,0,0.155,0.024,0,0,0.038,0,0.002,0.001,0.022,0.001,0,0.087,0,0.07,0.058,0.014,0.013
237.894118,223.023529,0.007,0,0.054,0,0,0,0,0.342,0,0,0,0.064,0.011,0,0,0,0.148,0.016,0,0,0.04,0.002,0,0.003,0.017,0,0,0.092,0,0.07,0.059,0.019,0.014
235.02521,220.243697,0.009,0,0.046,0,0,0,0,0.326,0,0,0,0.067,0.008,0,0,0,0.158,0.019,0,0,0.034,0.003,0.002,0.004,0.023,0,0,0.101,0,0.077,0.043,0.016,0.007
238,217,0.008,0,0.051,0,0,0,0,0.324,0,0,0,0.073,0.007,0,0,0,0.159,0.018,0,0,0.033,0.001,0.001,0.002,0.029,0.003,0,0.083,0,0.069,0.048,0.018,0.018
238.683333,215.733333,0.008,0,0.047,0,0,0,0,0.348,0,0,0,0.091,0.009,0,0,0,0.151,0.016,0,0,0.032,0,0,0,0.023,0.002,0,0.092,0,0.049,0.036,0.015,0.017
240,215,0.005,0,0.062,0,0,0,0,0.333,0,0,0,0.072,0.005,0,0,0,0.145,0.016,0,0,0.039,0.003,0.001,0.001,0.025,0,0,0.103,0,0.058,0.045,0.012,0.01
242.747899,215.084034,0.009,0,0.046,0,0,0,0,0.327,0,0,0,0.076,0.006,0,0,0,0.16,0.015,0,0,0.036,0.005,0,0.002,0.021,0,0,0.103,0,0.054,0.048,0.017,0.017
246.858974,217,0.004,0,0.053,0,0,0,0,0.359,0,0,0,0.077,0.003,0,0,0,0.161,0.018,0,0,0.026,0.002,0.001,0.001,0.026,0,0,0.088,0,0.056,0.047,0.015,0.014
248.857143,218.685714,0.012,0,0.07,0,0,0,0,0.342,0,0,0,0.071,0.004,0,0,0,0.154,0.019,0,0,0.038,0,0.001,0.001,0.017,0.001,0,0.101,0,0.046,0.053,0.012,0.015
252.866667,221.533333,0.006,0,0.053,0,0,0,0,0.364,0,0,0,0.082,0.002,0,0,0,0.173,0.017,0,0,0.024,0.004,0.001,0.002,0.019,0,0,0.098,0,0.048,0.038,0.014,0.015
253,225.818966,0.007,0,0.055,0,0,0,0,0.366,0,0,0,0.069,0.001,0,0,0,0.157,0.022,0,0,0.032,0,0.001,0.004,0.017,0,0,0.1,0,0.06,0.043,0.01,0.015
255.934066,229.835165,0.008,0,0.052,0,0,0,0,0.345,0,0,0,0.085,0.003,0,0,0,0.166,0.019,0,0,0.023,0.001,0.002,0,0.011,0,0,0.095,0,0.064,0.049,0.018,0.021
257.189655,233.784483,0.005,0,0.05,0,0,0,0,0.335,0,0,0,0.08,0.001,0,0,0,0.145,0.018,0,0,0.026,0.002,0.002,0.002,0.019,0.001,0,0.1,0,0.081,0.064,0.015,0.016
256.733333,235,0.007,0,0.047,0,0,0,0,0.327,0,0,0,0.078,0.003,0,0,0,0.153,0.023,0,0,0.021,0.001,0.003,0.001,0.014,0.002,0,0.084,0,0.087,0.071,0.014,0.017
251.413793,234.482759,0.011,0,0.044,0,0,0,0,0.342,0,0,0,0.1,0.001,0,0,0,0.136,0.02,0,0,0.014,0.002,0.001,0.002,0.017,0.001,0,0.084,0,0.091,0.074,0.012,0.019
241.913043,229.543478,0.003,0,0.046,0,0,0,0,0.335,0,0,0,0.091,0.002,0,0,0,0.158,0.034,0,0,0.021,0,0,0,0.011,0.002,0,0.084,0,0.077,0.064,0.011,0.02
228.236842,218.315789,0.005,0,0.045,0,0,0,0,0.329,0,0,0,0.085,0.001,0,0,0,0.162,0.025,0,0,0.021,0,0.001,0,0.017,0,0,0.077,0,0.084,0.065,0.012,0.016
210.582418,203.032967,0.002,0,0.043,0,0,0,0,0.354,0,0,0,0.091,0.002,0,0,0,0.132,0.019,0,0,0.034,0.001,0,0,0.011,0.002,0,0.081,0,0.088,0.048,0.011,0.01
190.017391,182.513043,0.003,0,0.056,0,0,0,0,0.343,0,0,0,0.069,0.001,0,0,0,0.132,0.014,0,0,0.045,0.001,0.003,0.002,0.021,0.001,0,0.084,0,0.065,0.036,0.016,0.008
168.274725,161.296703,0.003,0,0.058,0,0,0,0,0.331,0,0,0,0.056,0.004,0,0,0,0.124,0.017,0,0,0.037,0.002,0,0.002,0.029,0,0,0.079,0,0.062,0.044,0.007,0.009
146.554545,136.172727,0.002,0,0.071,0,0,0,0,0.235,0,0,0,0.05,0.005,0,0,0,0.129,0.013,0,0,0.067,0,0,0.004,0.04,0,0,0.071,0,0.053,0.038,0.014,0.003
