xs,ys,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33
-25.697479,-40.218487,0.003,0,0.139,0,0,0,0,0.249,0,0,0,0.079,0.015,0,0,0,0.075,0.015,0,0,0.058,0.004,0.002,0.005,0.044,0,0,0.04,0,0.06,0.033,0.028,0.019
-6.218391,-57.011494,0.006,0,0.098,0,0,0,0,0.272,0,0,0,0.061,0.014,0,0,0,0.101,0.016,0,0,0.07,0.001,0.002,0.007,0.051,0.002,0,0.035,0,0.062,0.055,0.023,0.018
13.470085,-75.358974,0.011,0,0.108,0,0,0,0,0.272,0,0,0,0.069,0.012,0,0,0,0.109,0.019,0,0,0.055,0.005,0.001,0.002,0.045,0.001,0,0.056,0,0.066,0.035,0.027,0.017
37.298851,-97.126437,0.008,0,0.071,0,0,0,0,0.287,0,0,0,0.054,0.009,0,0,0,0.178,0.016,0,0.001,0.042,0.002,0.001,0.006,0.042,0.001,0,0.108,0,0.048,0.032,0.017,0.007
62.106195,-119.106195,0.001,0,0.061,0,0,0,0,0.309,0,0,0,0.052,0.007,0,0,0,0.204,0.01,0,0,0.041,0.001,0,0.004,0.034,0,0,0.11,0,0.041,0.03,0.016,0.009
89.689655,-142.218391,0.01,0,0.037,0,0,0,0,0.264,0,0,0,0.033,0.003,0,0,0,0.256,0.009,0,0,0.027,0,0,0.005,0.022,0,0,0.142,0,0.027,0.024,0.008,0.011
116.747748,-165.135135,0.01,0,0.021,0,0,0,0,0.326,0,0,0,0.032,0.002,0,0,0,0.249,0.014,0,0,0.017,0,0,0,0.011,0,0,0.175,0,0.029,0.031,0.005,0.006
144,-187.337209,0.008,0,0.004,0,0,0,0,0.325,0,0,0,0.021,0,0,0,0,0.228,0.012,0,0,0,0,0,0,0,0,0,0.161,0,0.015,0.015,0.003,0.001
169.741071,-206.6875,0.017,0,0.002,0,0,0,0,0.317,0,0,0,0.02,0,0,0,0,0.209,0.006,0,0,0,0,0,0,0.001,0,0,0.142,0,0.029,0.023,0.001,0.004
195.298851,-225.885057,0.002,0,0.012,0,0,0,0,0.31,0,0,0,0.055,0,0,0,0,0.178,0.012,0,0,0.005,0.002,0,0.002,0.007,0.001,0,0.109,0,0.049,0.046,0,0
218.330357,-239.616071,0.008,0,0.007,0,0,0,0,0.3,0,0,0,0.051,0,0,0,0,0.184,0.009,0,0,0.006,0,0,0,0.007,0,0,0.083,0,0.057,0.041,0.003,0.003
238.873563,-254.264368,0.004,0,0.01,0,0,0,0,0.29,0,0,0,0.051,0.001,0,0,0,0.182,0.014,0,0,0.005,0,0,0,0.005,0,0,0.107,0,0.049,0.027,0.003,0.001
259,-264.441441,0.004,0,0.019,0,0,0,0,0.301,0,0,0,0.055,0.001,0,0,0,0.164,0.011,0,0,0.012,0,0,0,0.002,0,0,0.091,0,0.033,0.022,0,0.002
275.420455,-274.329545,0.002,0,0.021,0,0,0,0,0.24,0,0,0,0.044,0,0,0,0,0.151,0.015,0,0,0.009,0,0,0,0.004,0.002,0,0.075,0,0.041,0.019,0.001,0.002
289.848214,-280.6875,0.003,0,0.023,0,0,0,0,0.218,0,0,0,0.048,0.001,0,0,0,0.132,0.01,0,0,0.013,0.001,0,0.001,0.007,0,0,0.06,0,0.038,0.023,0.007,0.002
300.034483,-286.229885,0.007,0,0.029,0,0,0,0,0.215,0,0,0,0.051,0,0,0,0,0.108,0.01,0,0,0.013,0.001,0,0.001,0.005,0,0,0.06,0,0.039,0.024,0.005,0.011
309.25,-290.107143,0.005,0,0.055,0,0,0,0,0.248,0,0,0,0.059,0.004,0,0,0,0.11,0.004,0,0,0.015,0,0,0.002,0.01,0.002,0,0.057,0,0.05,0.034,0.008,0.009
315.636364,-293.215909,0.003,0,0.063,0,0,0,0,0.27,0,0,0,0.072,0.005,0,0,0,0.099,0.02,0,0,0.01,0.002,0.002,0,0.013,0,0,0.052,0,0.066,0.045,0.008,0.009
319.491071,-294,0.002,0,0.055,0,0,0,0,0.267,0,0,0,0.062,0.004,0,0,0,0.115,0.016,0,0,0.023,0.001,0.002,0.001,0.012,0.001,0,0.051,0,0.058,0.05,0.01,0.013
323.921348,-294,0.004,0,0.069,0,0,0,0,0.26,0,0,0,0.064,0.004,0,0,0,0.106,0.016,0,0,0.019,0.002,0,0.002,0.013,0.001,0,0.059,0,0.067,0.051,0.018,0.011
325,-294,0.003,0,0.056,0,0,0,0,0.281,0,0,0,0.064,0.002,0,0,0,0.117,0.026,0,0,0.033,0,0.001,0.002,0.012,0.001,0,0.05,0,0.066,0.05,0.011,0.005
325,-291.94382,0.001,0,0.066,0,0,0,0,0.278,0,0,0,0.072,0.004,0,0,0,0.114,0.016,0,0,0.024,0.001,0,0.005,0.014,0,0,0.052,0,0.067,0.055,0.016,0.007
324.552632,-290.035088,0.004,0,0.071,0,0,0,0,0.263,0,0,0,0.077,0.003,0,0,0,0.119,0.019,0,0,0.032,0.001,0.001,0.002,0.015,0.001,0,0.049,0,0.067,0.047,0.024,0.002
321.450549,-287.615385,0.004,0,0.064,0,0,0,0,0.294,0,0,0,0.062,0.004,0,0,0,0.14,0.019,0,0,0.025,0.005,0,0,0.012,0,0,0.042,0,0.052,0.041,0.026,0.009
315.767857,-285.071429,0.008,0,0.071,0,0,0,0,0.264,0,0,0,0.063,0,0,0,0,0.155,0.024,0,0,0.024,0.002,0,0.001,0.016,0.001,0,0.044,0,0.049,0.043,0.022,0.01
314,-281.021978,0.004,0,0.054,0,0,0,0,0.294,0,0,0,0.066,0.005,0,0,0,0.159,0.024,0,0,0.013,0,0,0.001,0.007,0,0,0.059,0,0.056,0.042,0.016,0.007
312.2,-272.136364,0.005,0,0.047,0,0,0,0,0.297,0,0,0,0.055,0.004,0,0,0,0.16,0.027,0,0,0.021,0.001,0,0,0.008,0,0,0.072,0,0.053,0.031,0.015,0.007
314.615385,-256.923077,0.005,0,0.046,0,0,0,0,0.296,0,0,0,0.05,0.005,0,0,0,0.176,0.019,0,0,0.015,0.001,0.001,0.002,0.008,0,0,0.087,0,0.047,0.025,0.011,0.011
321.672727,-234.709091,0.004,0,0.045,0,0,0,0,0.286,0,0,0,0.068,0.002,0,0,0,0.192,0.023,0,0,0.023,0,0,0,0.012,0,0,0.076,0,0.039,0.023,0.014,0.006
331.576087,-203.902174,0.002,0,0.06,0,0,0,0,0.253,0,0,0,0.071,0,0,0,0,0.142,0.023,0,0,0.032,0.001,0,0,0.014,0,0,0.052,0,0.033,0.011,0.007,0.006
345.570093,-165.523364,0.003,0,0.047,0,0,0,0,0.247,0,0,0,0.033,0.003,0,0,0,0.103,0.016,0,0,0.054,0,0,0.001,0.042,0,0,0.06,0,0.027,0.013,0.013,0.004
360.054945,-125.241758,0.003,0,0.027,0,0,0,0,0.199,0,0,0,0.02,0,0,0,0,0.077,0.011,0,0,0.045,0,0,0.003,0.052,0,0,0.05,0,0.025,0.006,0.002,0.001
377.364486,-78.962617,0,0,0.022,0,0,0,0,0.142,0,0,0,0.026,0,0,0,0,0.052,0.007,0,0,0.04,0,0,0.002,0.024,0,0,0.054,0,0.031,0.016,0.007,0
405.712644,-3.816092,0,0,0.01,0,0,0,0,0.147,0,0,0,0.016,0,0,0,0,0.057,0.009,0,0,0.037,0,0,0.001,0.015,0,0,0.035,0,0.025,0.024,0.001,0
436.870968,81.846774,0.001,0,0.012,0,0,0,0,0.308,0,0,0,0.037,0.002,0,0,0,0.229,0.012,0,0,0.04,0,0,0.001,0.018,0,0,0.136,0,0.034,0.021,0.009,0.002
453.123288,128.09589,0,0,0.035,0,0,0,0,0.376,0,0,0,0.056,0.001,0,0,0,0.146,0.02,0,0,0.038,0,0,0,0.022,0,0,0.125,0,0.052,0.035,0,0.001
465.953125,163.015625,0,0,0.059,0,0,0,0,0.287,0,0,0,0.088,0,0,0,0,0.102,0.01,0,0,0.047,0.005,0,0.001,0.046,0,0,0.06,0,0.098,0.084,0.017,0.002
482.717949,212.051282,0,0,0.04,0,0,0,0,0.233,0,0,0,0.053,0.002,0,0,0,0.102,0.019,0,0,0.025,0,0,0,0.015,0,0,0.051,0,0.056,0.044,0.008,0.013
495.094488,248.622047,0.001,0,0.032,0,0,0,0,0.208,0,0,0,0.055,0,0,0,0,0.076,0.009,0,0,0.021,0,0,0.001,0.009,0,0,0.031,0,0.032,0.025,0.009,0.003
505.935897,281.692308,0,0,0.029,0,0,0,0,0.205,0,0,0,0.052,0.001,0,0,0,0.086,0.009,0,0,0.02,0.001,0,0.001,0.009,0,0,0.043,0,0.047,0.034,0.008,0.005
514.233871,305.024194,0.005,0,0.039,0,0,0,0,0.237,0,0,0,0.044,0.003,0,0,0,0.114,0.017,0,0,0.019,0,0,0.001,0.006,0,0,0.075,0,0.055,0.031,0.005,0.009
522.75,329.5125,0.008,0,0.023,0,0,0,0,0.262,0,0,0,0.049,0,0,0,0,0.134,0.025,0,0,0.009,0,0,0,0.002,0,0,0.09,0,0.042,0.029,0.002,0.011
527.76,345,0.011,0,0.033,0,0,0,0,0.291,0,0,0,0.035,0,0,0,0,0.151,0.022,0,0,0.006,0,0,0,0.001,0.001,0,0.112,0,0.039,0.032,0.001,0.015
531.62963,357.54321,0.016,0,0.01,0,0,0,0,0.299,0,0,0,0.038,0,0,0,0,0.162,0.006,0,0,0.008,0,0.003,0.001,0,0,0,0.102,0,0.033,0.026,0.003,0.014
535.746032,365.436508,0.04,0,0.015,0,0,0,0,0.303,0,0,0,0.031,0,0,0,0,0.174,0.011,0,0,0.004,0,0.002,0,0.002,0.004,0,0.104,0,0.03,0.016,0.001,0.018
538.642857,370.857143,0.025,0,0.011,0,0,0,0,0.308,0,0,0,0.027,0,0,0,0,0.159,0.011,0,0.001,0.004,0,0.001,0.001,0.002,0.004,0,0.12,0,0.018,0.016,0.002,0.014
539.645669,372.637795,0.027,0,0.011,0,0,0,0,0.315,0,0,0,0.025,0,0,0,0,0.156,0.01,0,0,0.003,0,0.002,0.001,0.002,0.001,0,0.123,0,0.017,0.021,0.003,0.014
540.444444,372.185185,0.027,0,0.008,0,0,0,0,0.327,0,0,0,0.03,0.001,0,0,0,0.173,0.006,0,0,0.003,0,0,0,0.002,0.003,0,0.116,0,0.014,0.018,0.001,0.014
541.634921,369.587302,0.031,0,0.012,0,0,0,0,0.322,0,0,0,0.03,0,0,0,0,0.172,0.01,0,0,0.001,0.001,0.002,0,0.003,0.004,0,0.111,0,0.017,0.014,0,0.016
542,364.8,0.021,0,0.014,0,0,0,0,0.324,0,0,0,0.029,0,0,0,0,0.172,0.011,0,0,0.003,0,0.003,0,0,0.002,0,0.132,0,0.035,0.018,0,0.014
542,359.03937,0.026,0,0.009,0,0,0,0,0.322,0,0,0,0.033,0.002,0,0,0,0.165,0.008,0,0,0.008,0.001,0.002,0.001,0,0.002,0,0.13,0,0.02,0.025,0.002,0.011
542,352.5,0.025,0,0.012,0,0,0,0,0.297,0,0,0,0.032,0,0,0,0,0.18,0.013,0,0,0.002,0,0.004,0,0.004,0.003,0,0.111,0,0.033,0.026,0.001,0.011
541.290323,347.016129,0.022,0,0.012,0,0,0,0,0.308,0,0,0,0.035,0,0,0,0,0.163,0.015,0,0,0.004,0,0.001,0.001,0.003,0.002,0,0.124,0,0.031,0.021,0.002,0.018
541.146341,338.743902,0.021,0,0.019,0,0,0,0,0.309,0,0,0,0.023,0,0,0,0,0.173,0.012,0,0,0.005,0.001,0,0,0.001,0.004,0,0.124,0,0.023,0.021,0.002,0.013
540.233871,332.362903,0.024,0,0.026,0,0,0,0,0.318,0,0,0,0.03,0.001,0,0,0,0.167,0.012,0,0,0.003,0,0.002,0,0,0.005,0,0.11,0,0.03,0.027,0.002,0.023
534.821429,325.869048,0.03,0,0.022,0,0,0,0,0.303,0,0,0,0.029,0,0,0,0,0.164,0.008,0,0,0.004,0,0.001,0.001,0.005,0.004,0,0.107,0,0.038,0.039,0.005,0.016
526.766129,318.5,0.023,0,0.016,0,0,0,0,0.282,0,0,0,0.044,0.001,0,0,0,0.155,0.017,0,0,0.007,0.001,0.001,0.002,0.005,0.003,0,0.107,0,0.056,0.025,0.002,0.012
512.433735,312.144578,0.017,0,0.015,0,0,0,0,0.273,0,0,0,0.041,0.001,0,0,0,0.175,0.017,0,0,0.014,0,0.002,0.002,0.004,0,0,0.107,0,0.055,0.028,0.004,0.012
495.409836,305.967213,0.014,0,0.026,0,0,0,0,0.311,0,0,0,0.036,0,0,0,0,0.145,0.016,0,0,0.018,0.001,0.001,0.004,0.007,0.003,0,0.102,0,0.047,0.029,0.002,0.014
474.5,300.357143,0.009,0,0.023,0,0,0,0,0.279,0,0,0,0.039,0.002,0,0,0,0.167,0.019,0,0,0.012,0.001,0,0,0.003,0.001,0,0.095,0,0.047,0.037,0.004,0.014
451.836066,292.991803,0.018,0,0.027,0,0,0,0,0.273,0,0,0,0.04,0.004,0,0,0,0.141,0.025,0,0,0.016,0,0.003,0,0.01,0.002,0,0.081,0,0.045,0.038,0.011,0.016
425.5,287.255814,0.009,0,0.027,0,0,0,0,0.259,0,0,0,0.061,0.002,0,0,0,0.155,0.016,0,0,0.01,0,0.002,0,0.011,0.001,0,0.079,0,0.043,0.029,0.011,0.016
401.737705,280.352459,0.016,0,0.044,0,0,0,0,0.286,0,0,0,0.054,0.001,0,0,0,0.148,0.024,0,0,0.019,0.001,0.001,0.003,0.007,0.001,0,0.088,0,0.038,0.03,0.004,0.021
376.494253,274.367816,0.011,0,0.048,0,0,0,0,0.284,0,0,0,0.06,0.002,0,0,0,0.168,0.025,0,0,0.022,0.002,0.003,0.001,0.009,0,0,0.091,0,0.056,0.037,0.009,0.012
355.652893,267.719008,0.014,0,0.053,0,0,0,0,0.3,0,0,0,0.077,0.005,0,0,0,0.145,0.017,0,0,0.015,0.001,0.007,0.001,0.013,0.001,0,0.114,0,0.063,0.042,0.004,0.019
330.34375,260.666667,0.011,0,0.057,0,0,0,0,0.331,0,0,0,0.086,0.004,0,0,0,0.144,0.031,0,0,0.018,0,0.002,0.001,0.012,0,0,0.069,0,0.067,0.054,0.006,0.018
309.472441,254.102362,0.007,0,0.046,0,0,0,0,0.299,0,0,0,0.088,0,0,0,0,0.161,0.021,0,0,0.024,0,0.002,0.001,0.007,0.002,0,0.072,0,0.086,0.089,0.012,0.015
290.259259,248.555556,0.008,0,0.042,0,0,0,0,0.329,0,0,0,0.095,0.002,0,0,0,0.148,0.026,0,0.001,0.02,0.001,0,0,0.012,0.001,0,0.076,0,0.095,0.069,0.011,0.023
274.738095,241.285714,0.005,0,0.057,0,0,0,0,0.309,0,0,0,0.12,0.003,0,0,0,0.121,0.018,0,0,0.026,0.004,0.005,0.001,0.014,0.001,0,0.08,0,0.095,0.082,0.007,0.013
260.170732,236.5,0.01,0,0.038,0,0,0,0,0.307,0,0,0,0.111,0.001,0,0,0,0.144,0.019,0,0,0.025,0.002,0.002,0.001,0.025,0.001,0,0.085,0,0.077,0.073,0.015,0.017
250.130081,232.300813,0.008,0,0.05,0,0,0,0,0.337,0,0,0,0.09,0.004,0,0,0,0.13,0.021,0,0,0.024,0.001,0,0,0.022,0,0,0.081,0,0.081,0.073,0.013,0.016
241.207317,228.426829,0.007,0,0.056,0,0,0,0,0.335,0,0,0,0.086,0.009,0,0,0,0.146,0.012,0,0.001,0.029,0.003,0.004,0.002,0.022,0.001,0,0.083,0,0.072,0.064,0.005,0.014
234.424,225.96,0.005,0,0.068,0,0,0,0,0.334,0,0,0,0.08,0.005,0,0,0,0.145,0.013,0,0,0.042,0.003,0.001,0.002,0.019,0.002,0,0.09,0,0.056,0.059,0.013,0.016
230.481928,221,0.012,0,0.068,0,0,0,0,0.325,0,0,0,0.064,0.003,0,0,0,0.142,0.021,0,0.001,0.035,0.003,0.001,0.005,0.023,0.001,0,0.094,0,0.062,0.053,0.015,0.012
227.146341,219.560976,0.012,0,0.056,0,0,0,0,0.323,0,0,0,0.077,0.008,0,0,0,0.149,0.021,0,0,0.037,0.003,0.001,0.006,0.03,0.003,0,0.073,0,0.049,0.064,0.021,0.017
225.785714,217,0.007,0,0.06,0,0,0,0,0.336,0,0,0,0.087,0.005,0,0,0,0.137,0.013,0,0,0.033,0.002,0.003,0.003,0.015,0.002,0,0.093,0,0.059,0.052,0.016,0.019
225,217,0.009,0,0.055,0,0,0,0,0.341,0,0,0,0.07,0.002,0,0,0,0.14,0.019,0,0,0.044,0.001,0,0.002,0.019,0.001,0,0.097,0,0.056,0.049,0.016,0.014
225,219.5,0.009,0,0.045,0,0,0,0,0.351,0,0,0,0.067,0.006,0,0,0,0.159,0.023,0,0,0.033,0.001,0,0.001,0.017,0.002,0,0.089,0,0.072,0.041,0.014,0.018
225.634146,220,0.01,0,0.06,0,0,0,0,0.346,0,0,0,0.057,0.011,0,0,0,0.166,0.009,0,0,0.036,0,0.001,0.002,0.022,0,0,0.102,0,0.064,0.044,0.009,0.01
229.616279,220.953488,0.006,0,0.058,0,0,0,0,0.347,0,0,0,0.063,0.008,0,0,0,0.158,0.009,0,0,0.037,0.001,0,0.002,0.014,0.003,0,0.093,0,0.052,0.053,0.013,0.015
230.1,222.15,0.006,0,0.059,0,0,0,0,0.345,0,0,0,0.066,0.008,0,0,0,0.146,0.013,0,0,0.045,0.001,0.003,0.005,0.018,0.002,0,0.081,0,0.051,0.058,0.017,0.014
233.346154,225,0.006,0,0.046,0,0,0,0,0.349,0,0,0,0.083,0.004,0,0,0,0.172,0.013,0,0,0.042,0,0.001,0,0.012,0,0,0.082,0,0.055,0.05,0.027,0.014
236.45082,227.04918,0.009,0,0.064,0,0,0,0,0.358,0,0,0,0.072,0.006,0,0,0,0.159,0.017,0,0,0.032,0.001,0.001,0.001,0.017,0.001,0,0.083,0,0.063,0.045,0.024,0.01
238.324786,230,0.006,0,0.058,0,0,0,0,0.353,0,0,0,0.077,0.002,0,0,0,0.17,0.019,0,0,0.019,0.001,0.001,0.001,0.021,0.001,0,0.089,0,0.064,0.049,0.012,0.011
238.987654,230,0.007,0,0.038,0,0,0,0,0.347,0,0,0,0.061,0.002,0,0,0,0.148,0.018,0,0,0.031,0.001,0,0.003,0.021,0.002,0,0.108,0,0.085,0.045,0.021,0.009
235.785714,224.285714,0.018,0,0.051,0,0,0,0,0.331,0,0,0,0.08,0.004,0,0,0,0.163,0.01,0,0,0.028,0.001,0,0.001,0.011,0.001,0,0.1,0,0.08,0.057,0.005,0.011
226.743902,215.609756,0.005,0,0.049,0,0,0,0,0.341,0,0,0,0.071,0,0,0,0,0.166,0.022,0,0,0.023,0.001,0,0,0.01,0,0,0.095,0,0.076,0.056,0.02,0.013
214.88,203.912,0.002,0,0.043,0,0,0,0,0.348,0,0,0,0.077,0.003,0,0,0,0.139,0.01,0,0,0.018,0.003,0.001,0.002,0.018,0,0,0.099,0,0.079,0.065,0.014,0.016
198.385542,186.879518,0.005,0,0.069,0,0,0,0,0.343,0,0,0,0.068,0.007,0,0,0,0.154,0.012,0,0,0.024,0.003,0.003,0.004,0.017,0,0,0.088,0,0.062,0.03,0.006,0.014
178.98374,167.447154,0.006,0,0.047,0,0,0,0,0.334,0,0,0,0.064,0.006,0,0,0,0.147,0.017,0,0,0.031,0.002,0.001,0.004,0.026,0,0,0.095,0,0.061,0.037,0.018,0.012
157.674699,144.337349,0.006,0,0.059,0,0,0,0,0.26,0,0,0,0.063,0.006,0,0,0,0.138,0.013,0,0,0.061,0,0,0.004,0.033,0,0,0.082,0,0.047,0.037,0.014,0.004
136.639344,121.459016,0.003,0,0.076,0,0,0,0,0.252,0,0,0,0.054,0.01,0,0,0,0.115,0.014,0,0,0.057,0.003,0,0.005,0.04,0,0,0.075,0,0.046,0.04,0.013,0.011
113.823529,95.258824,0.001,0,0.1,0,0,0,0,0.25,0,0,0,0.049,0.008,0,0,0,0.106,0.006,0,0,0.064,0.001,0.001,0.002,0.048,0,0,0.071,0,0.05,0.032,0.017,0.012
92.85,73.766667,0.003,0,0.081,0,0,0,0,0.243,0,0,0,0.049,0.019,0,0,0,0.114,0.009,0,0,0.058,0.002,0,0.005,0.043,0,0,0.068,0,0.044,0.038,0.016,0.011
73.831325,50.39759,0.004,0,0.084,0,0,0,0,0.258,0,0,0,0.052,0.014,0,0,0,0.101,0.007,0,0,0.064,0.002,0.001,0.004,0.059,0,0,0.06,0,0.044,0.029,0.014,0.006
59.45082,36.303279,0.004,0,0.09,0,0,0,0,0.227,0,0,0,0.052,0.015,0,0,0,0.088,0.01,0,0,0.069,0.003,0,0.005,0.059,0,0,0.066,0,0.055,0.034,0.024,0.011
39.53012,15.73494,0.003,0,0.095,0,0,0,0,0.231,0,0,0,0.065,0.015,0,0,0,0.105,0.012,0,0,0.077,0.003,0.001,0.007,0.062,0.001,0,0.057,0,0.054,0.034,0.025,0.013
24.254098,-1.606557,0.004,0,0.095,0,0,0,0,0.233,0,0,0,0.066,0.015,0,0,0,0.107,0.016,0,0,0.074,0.003,0.001,0.007,0.053,0.001,0,0.055,0,0.055,0.044,0.028,0.012
10.511905,-14.130952,0.002,0,0.109,0,0,0,0,0.208,0,0,0,0.062,0.02,0,0,0,0.098,0.01,0,0,0.085,0.004,0.001,0.005,0.064,0.001,0,0.06,0,0.053,0.039,0.015,0.011
-1.123967,-24.867769,0.002,0,0.12,0,0,0,0,0.243,0,0,0,0.054,0.018,0,0,0,0.092,0.011,0,0,0.067,0.003,0,0.007,0.043,0,0,0.044,0,0.057,0.047,0.016,0.012
-10.313953,-34.918605,0.005,0,0.099,0,0,0,0,0.262,0,0,0,0.069,0.014,0,0,0,0.106,0.008,0,0,0.063,0.003,0,0.008,0.049,0.001,0,0.053,0,0.056,0.031,0.022,0.013
-17.016807,-39.336134,0.002,0,0.095,0,0,0,0,0.262,0,0,0,0.066,0.026,0,0,0,0.097,0.01,0,0,0.067,0.001,0,0.007,0.054,0.001,0,0.047,0,0.073,0.031,0.017,0.017
-24.436782,-43,0.01,0,0.096,0,0,0,0,0.263,0,0,0,0.058,0.015,0,0,0,0.098,0.008,0,0,0.083,0.002,0.003,0.012,0.043,0.002,0,0.041,0,0.05,0.043,0.014,0.02
-28.610169,-43,0.003,0,0.102,0,0,0,0,0.275,0,0,0,0.07,0.021,0,0,0,0.109,0.004,0,0,0.064,0.003,0.002,0.004,0.047,0.003,0,0.032,0,0.062,0.048,0.015,0.014
-30.586207,-43,0.014,0,0.09,0,0,0,0,0.258,0,0,0,0.07,0.016,0,0,0,0.107,0.008,0,0,0.06,0.007,0.002,0.006,0.066,0.001,0,0.038,0,0.059,0.042,0.017,0.018
-33.606838,-41.589744,0.007,0,0.098,0,0,0,0,0.28,0,0,0,0.065,0.019,0,0,0,0.101,0.009,0,0,0.058,0.001,0.004,0.004,0.052,0.001,0,0.048,0,0.052,0.054,0.025,0.013
-34.045455,-40,0.004,0,0.111,0,0,0,0,0.283,0,0,0,0.08,0.017,0,0,0,0.097,0.007,0,0,0.077,0.006,0.001,0.01,0.057,0.001,0,0.041,0,0.046,0.031,0.024,0.013
-33,-39.008547,0.009,0,0.129,0,0,0,0,0.279,0,0,0,0.074,0.013,0,0,0,0.097,0.01,0,0,0.077,0.007,0.004,0.005,0.054,0,0,0.025,0,0.064,0.036,0.015,0.021
-33,-35.866667,0.011,0,0.108,0,0,0,0,0.268,0,0,0,0.072,0.017,0,0,0,0.096,0.007,0,0,0.074,0.003,0,0.006,0.053,0,0,0.038,0,0.055,0.031,0.016,0.024
-30.617391,-30.33913,0.003,0,0.101,0,0,0,0,0.263,0,0,0,0.086,0.015,0,0,0,0.076,0.01,0,0,0.089,0.002,0.005,0.004,0.058,0.003,0,0.052,0,0.045,0.037,0.016,0.025
-28,-27.5,0.007,0,0.107,0,0,0,0,0.24,0,0,0,0.07,0.019,0,0,0,0.076,0.008,0,0,0.078,0.005,0.002,0.004,0.058,0.001,0,0.05,0,0.048,0.053,0.028,0.022
-27.394737,-24.578947,0.002,0,0.112,0,0,0,0,0.254,0,0,0,0.072,0.015,0,0,0,0.084,0.018,0,0,0.064,0.004,0.003,0.012,0.058,0,0,0.041,0,0.05,0.044,0.032,0.019
-24.26087,-22.445652,0.007,0,0.109,0,0,0,0,0.245,0,0,0,0.072,0.02,0,0,0,0.089,0.011,0,0,0.061,0.007,0.001,0.005,0.058,0.002,0,0.036,0,0.054,0.041,0.025,0.019
-19.295652,-20,0.011,0,0.125,0,0,0,0,0.208,0,0,0,0.072,0.017,0,0,0,0.07,0.014,0,0,0.06,0.006,0.002,0.007,0.062,0.001,0,0.031,0,0.062,0.048,0.036,0.019
-13.902174,-22.717391,0.008,0,0.118,0,0,0,0,0.198,0,0,0,0.067,0.028,0,0,0,0.085,0.015,0,0,0.062,0.001,0.003,0.006,0.058,0.003,0,0.037,0,0.044,0.059,0.027,0.022
-4.852174,-25.165217,0.008,0,0.129,0,0,0,0,0.192,0,0,0,0.064,0.024,0,0,0,0.073,0.012,0,0,0.066,0.004,0.003,0.01,0.061,0,0,0.045,0,0.054,0.055,0.021,0.02
10.413043,-38.26087,0.007,0,0.101,0,0,0,0,0.245,0,0,0,0.063,0.013,0,0,0,0.095,0.016,0,0,0.059,0.003,0.002,0.005,0.043,0,0,0.056,0,0.058,0.052,0.03,0.012
28.13913,-52.2,0.004,0,0.079,0,0,0,0,0.272,0,0,0,0.066,0.015,0,0,0,0.083,0.017,0,0,0.058,0.002,0.002,0.008,0.05,0.001,0,0.071,0,0.064,0.042,0.026,0.015
49.377778,-69.966667,0.004,0,0.082,0,0,0,0,0.262,0,0,0,0.035,0.014,0,0,0,0.148,0.006,0,0,0.039,0,0.002,0.006,0.038,0.001,0,0.099,0,0.048,0.028,0.023,0.011
71.915888,-90.747664,0.006,0,0.064,0,0,0,0,0.235,0,0,0,0.04,0.014,0,0,0,0.208,0.007,0,0,0.029,0.002,0,0.006,0.031,0.001,0,0.12,0,0.04,0.025,0.009,0.006
94.651685,-112.438202,0.01,0,0.026,0,0,0,0,0.257,0,0,0,0.015,0.005,0,0,0,0.259,0.005,0,0,0.017,0,0,0.005,0.022,0.001,0,0.188,0,0.018,0.013,0.008,0.009
119.233645,-134.495327,0.011,0,0.016,0,0,0,0,0.315,0,0,0,0.011,0.002,0,0,0,0.283,0.003,0,0,0.02,0,0.001,0.001,0.006,0,0,0.213,0,0.009,0.014,0.004,0.002
141.910112,-157.325843,0.009,0,0,0,0,0,0,0.315,0,0,0,0.009,0,0,0,0,0.285,0.011,0,0,0.002,0,0,0,0.004,0.002,0,0.18,0,0.004,0.008,0.004,0.001
162.759259,-176.527778,0.006,0,0.001,0,0,0,0,0.294,0,0,0,0.018,0,0,0,0,0.226,0.007,0,0,0.003,0,0,0,0,0.002,0,0.144,0,0.006,0.018,0,0.003
184.065934,-197.065934,0.003,0,0.004,0,0,0,0,0.284,0,0,0,0.022,0,0,0,0,0.184,0.003,0,0,0,0,0,0,0.001,0,0,0.117,0,0.021,0.016,0.001,0.003
202.175926,-213.231481,0.011,0,0.003,0,0,0,0,0.268,0,0,0,0.054,0,0,0,0,0.161,0.012,0,0,0.001,0,0,0,0.001,0.001,0,0.094,0,0.042,0.038,0.001,0.001
220,-230.714286,0.004,0,0.004,0,0,0,0,0.235,0,0,0,0.05,0,0,0,0,0.161,0.01,0,0,0.01,0,0,0,0.002,0,0,0.08,0,0.043,0.034,0.003,0.003
234.46789,-244.165138,0.007,0,0.006,0,0,0,0,0.27,0,0,0,0.053,0.001,0,0,0,0.182,0.003,0,0,0.007,0,0,0,0.003,0,0,0.107,0,0.038,0.023,0.004,0.002
